firstname;telephone_number;email;password;role;created_at;children
Trevor;2025678901;lowerykimberly@example.net;6mKY!nP^+y;admin;2023-08-27 23:36:00;Sophie (22),Alex (9)
Amanda;7501234567;johnscourtney@example.com;S_d0SUo&Ce;admin;2023-05-11 19:29:50;Emma (3),Ethan (14),Courtney (19)
Daniel;4159876543;christopher52@example.com;@0iZyh6uIY;admin;2023-06-15 02:30:15;
Alex;1234567890;norrissabrina@example.org;_9fM7zav#B;admin;2023-07-02 23:12:58;Olivia (14)
Sandra;9876543211;trobbins@example.net;@%xHuZl)9l;admin;2023-01-20 08:50:11;Brian (8),Melissa (14),Liam (8)
Jordan;1122334455;litiffany@example.org;!Y2m4%ysM4;user;2023-01-02 00:48:12;
Sophie;9876543212;@example.com;+1TNyc(4Cc;admin;2023-05-15 08:40:10;Eva (9),Adam (18)
Ethan;9876543213;rowejennifer@example.org;(9Z2zW2v)u;user;2023-07-14 17:31:32;
Grace;9876543214;faulknersusan@example.net;L(1RUoaJDH;user;2023-07-07 18:02:34;Mason (14)
Ella;9876543215;carterlindsey@example.org;+sUVpIkkY6;user;2023-11-20 07:22:51;
Owen;9876543216;ronald99@example.com;Q3XWW+Uc*Z;user;2023-10-20 03:16:47;Lily (19),Maya (10),Logan (19)
Dylan;9876543217;gregory80@example.com;sXs!4Mzjx%;user;2023-08-31 10:12:45;Sophia (13)
Ava;9876543218;kcampbell@example.com;r)5r@Msse$;user;2023-04-04 10:11:05;Brandon (19),Carter (7)
Zoe;9876543219;suzanne06@example.com;%1^JMSrzQk;user;2023-10-18 10:07:20;
Leo;9876543220;michelle93@example.org;+hL*hdte2H;admin;2023-11-08 16:38:28;Oliver (10)
Eva;9876543221;velasquezkeith@example.org;GW4Ft8zbi&;user;2023-08-11 23:17:16;
